customer_id,first_name,last_name,email,city,state,region,signup_date,loyalty_tier
C00001,Danielle,Johnson,missing_email@example.com,Johnberg,WA,Northeast,2022-04-21,Bronze
C00002,Erica,Mcclain,garzaanthony@example.org,East William,AK,Northeast,2026-03-16,Bronze
C00003,James,Santos,missing_email@example.com,Robinsonshire,KY,West,2021-06-27,Silver
C00004,Katherine,Moore,jpeterson@example.org,Curtisfurt,CT,Northeast,2024-06-26,Silver
C00005,Melanie,Munoz,blairamanda@example.com,New Kellystad,OK,West,2023-01-25,Gold
C00006,Janet,Williams,kendragalloway@example.org,South Joshuastad,GA,Northeast,2024-07-31,Bronze
C00007,Michael,Santiago,lynchgeorge@example.net,East Steven,KY,Midwest,2026-03-03,Bronze
C00008,Jeffrey,Nguyen,perezantonio@example.com,Adamsborough,PW,Northeast,2026-04-04,Bronze
C00009,Nancy,Edwards,pfoster@example.com,West Donald,WA,Midwest,2026-03-17,Silver
C00010,Amber,Burgess,zhurst@example.com,East William,CO,West,2021-10-31,Silver
C00011,Michelle,Hernandez,laurahenderson@example.org,Jamesmouth,NC,Midwest,2023-07-28,Bronze
C00012,Tasha,Valencia,frazierdanny@example.net,Kaylamouth,DE,South,2023-12-05,Gold
C00013,Ryan,Chavez,teresa28@example.org,Meaganhaven,PA,Northeast,2023-02-14,Gold
C00014,Eric,Farmer,georgetracy@example.org,Natashaport,IA,South,2021-12-03,Bronze
C00015,John,Bradley,millertodd@example.org,East Donna,OH,Northeast,2022-11-02,Silver
C00016,Joseph,Brennan,ibrandt@example.net,Lake Larry,TN,South,2024-08-10,Platinum
C00017,Samuel,Holmes,wrightcaleb@example.org,New Jeffrey,CA,South,2021-12-06,Gold
C00018,Jeremy,Whitehead,chad34@example.net,Lewisberg,VA,South,2026-04-16,Bronze
C00019,Barbara,Sanchez,maguirre@example.org,Lake Ryanchester,MT,Northeast,2025-05-27,Gold
C00020,Michelle,Brown,brownjessica@example.org,East James,NV,Midwest,2022-08-16,Gold
C00021,Robert,Ramirez,nancyjones@example.net,North Deniseside,MP,West,2021-07-22,Silver
C00022,Tanya,House,gabrieltucker@example.org,Barreraburgh,MS,Midwest,2021-06-13,Silver
C00023,Tricia,Baker,smitchell@example.net,Mooreport,IL,Midwest,2021-12-05,Silver
C00024,Beth,Daniels,brian97@example.net,North Susan,CO,Northeast,2023-01-05,Bronze
C00025,Casey,Jones,richarddavid@example.net,New Brooke,RI,South,2022-02-16,Bronze
C00026,Robert,Silva,sarah35@example.org,Randyport,NH,West,2024-02-14,Bronze
C00027,Sarah,Walls,ellisyolanda@example.org,New Jasonview,DC,Northeast,2024-05-26,Gold
C00028,Nicole,Suarez,justin78@example.net,Cherylhaven,AL,Midwest,2026-02-24,Bronze
C00029,Kevin,Alvarado,josephpreston@example.net,West Juan,IL,Midwest,2024-05-07,Silver
C00030,James,Walters,william40@example.org,Calderonton,AL,Northeast,2024-04-08,Silver
C00031,Kellie,Walsh,evan78@example.net,Hoffmanville,CA,South,2022-09-13,Silver
C00032,Amy,Davenport,russellwilliams@example.com,West Jasonbury,TN,Northeast,2022-04-22,Bronze
C00033,Michael,Castro,vdickson@example.org,Port Francisco,AS,Midwest,2022-12-09,Bronze
C00034,Nicole,Johnson,kimberly63@example.com,Port Jacqueline,MS,Northeast,2021-10-05,Bronze
C00035,Michele,Walker,ybailey@example.org,North Donna,MO,West,2024-03-22,Silver
C00036,Joshua,Jones,michael86@example.net,Sheilaville,FM,South,2023-08-27,Silver
C00037,Gregory,Estes,benjamin96@example.com,Samuelhaven,DE,Midwest,2024-09-15,Unassigned
C00038,Rachel,Lee,fletcheraaron@example.net,West Ryan,TN,South,2024-03-28,Silver
C00039,Cindy,Alvarado,cortezkevin@example.com,Nguyenport,OH,Midwest,2022-07-07,Bronze
C00040,James,Ortega,lbyrd@example.net,Richardtown,ME,South,2023-11-15,Bronze
C00041,Jason,Floyd,missing_email@example.com,Stevenmouth,TX,South,2023-04-01,Bronze
C00042,William,Leon,donnacampbell@example.net,Clarencebury,TX,Northeast,2024-01-27,Bronze
C00043,Jeffrey,Gonzalez,williamstracey@example.net,South Robertshire,ID,South,2024-09-11,Silver
C00044,Troy,Sanchez,staffordmichelle@example.org,Robinsonhaven,NH,West,2021-11-10,Bronze
C00045,Angela,Lowery,bryantlaurie@example.net,Stephaniemouth,RI,Northeast,2025-09-22,Bronze
C00046,Ronald,Meadows,vmerritt@example.com,Greenbury,MP,West,2023-10-16,Unassigned
C00047,Katie,Boyd,joshuajones@example.com,West Matthew,MH,Northeast,2026-01-10,Gold
C00048,Christopher,Hernandez,tbenson@example.org,South Rickside,NH,Northeast,2024-12-19,Bronze
C00049,Bryan,Wall,lstein@example.net,Port Nicoleshire,MS,West,2025-06-27,Gold
C00050,Adam,Bell,acastaneda@example.net,South Jeffrey,NE,Northeast,2025-07-24,Silver
